,Name,GS_Name,CNPqLevel,Begin,End,University,GS_Name,GS_Link,GS_H5,GS_Cits,GS_H5_2010,GS_Cits_2010
131,Fabrício Enembreck,Fabrcio Enembreck,2,01/03/12,28/02/2015,PUC/PR,Fabrcio Enembreck,/citations?user=LjsK1HgAAAAJ&hl=pt-BR,10.0,338.0,6.0,171.0
132,Fátima de Lourdes dos Santos Nunes Marques,,2,01/03/14,28/02/2017,USP,,,,,,
133,Fátima Nelsizeuma Sombra de Medeiros,,2,01/03/14,28/02/2017,UFC,,,,,,
134,Felipe Maia Galvão França,,2,01/03/14,28/02/2017,UFRJ,,,,,,
135,Felipe Rech Meneguzzi,,2,01/03/14,28/02/2017,PUCRS,,,,,,
136,Fernanda Araujo Baião Amorim,,2,01/03/14,28/02/2017,UNIRIO,,,,,,
137,Fernando Buarque de Lima Neto,,2,01/03/13,29/02/2016,UPE,,,,,,
138,Fernando José Castor de Lima Filho,,2,01/03/12,28/02/2015,UFPE,,,,,,
139,Fernando Magno Quintão Pereira,Fernando Magno Quinto Pereira,2,01/03/13,29/02/2016,UFMG,Fernando Magno Quinto Pereira,/citations?user=xZfJARoAAAAJ&hl=pt-BR,12.0,453.0,8.0,303.0
140,Fernando Vieira Paulovich,Fernando V. Paulovich,2,01/03/12,28/02/2015,USP,Fernando V. Paulovich,/citations?user=TmMJsJkAAAAJ&hl=pt-BR,18.0,1038.0,17.0,834.0
141,Flávia Coimbra Delicato,,2,01/03/12,28/02/2015,UFRJ,,,,,,
142,Flávia Maria Santoro,,2,01/03/12,28/02/2015,UNIRIO,,,,,,
143,Flávio Bortolozzi,Flavio Bortolozzi,2,01/03/12,28/02/2015,PUC/PR,Flavio Bortolozzi,/citations?user=EiO1CYEAAAAJ&hl=pt-BR,26.0,2181.0,14.0,890.0
144,Flávio Keidi Miyazawa,Flavio Keidi Miyazawa,1C,01/03/11,28/02/2015,UNICAMP,Flavio Keidi Miyazawa,/citations?user=YV0kVoIAAAAJ&hl=pt-BR,16.0,932.0,11.0,440.0
145,Flávio Rech Wagner,Flvio R Wagner,1B,01/08/13,28/02/2015,UFRGS,Flvio R Wagner,/citations?user=EUlQ8PkAAAAJ&hl=pt-BR,21.0,1504.0,14.0,729.0
146,Flavio Soares Correa da Silva,Flavio Soares Correa da Silva,2,01/03/13,29/02/2016,USP,Flavio Soares Correa da Silva,/citations?user=9RaLGI4AAAAJ&hl=pt-BR,10.0,425.0,7.0,176.0
147,Francisco de Assis Tenorio de Carvalho,Francisco de Assis Tenorio de Carvalho,1B,01/03/14,28/02/2018,UFPE,Francisco de Assis Tenorio de Carvalho,/citations?user=7t7NjEUAAAAJ&hl=pt-BR,24.0,1952.0,18.0,1152.0
148,Francisco Vilar Brasileiro,Francisco Brasileiro,1D,01/03/11,28/02/2015,UFCG,Francisco Brasileiro,/citations?user=4H8i9egAAAAJ&hl=pt-BR,23.0,2669.0,17.0,1305.0
149,Franklin de Lima Marquezino,Franklin de Lima Marquezino,2,01/03/14,28/02/2017,UFRJ,Franklin de Lima Marquezino,/citations?user=KeEgCSsAAAAJ&hl=pt-BR,4.0,85.0,4.0,72.0
150,George Darmiton da Cunha Cavalcanti,George Darmiton C. Cavalcanti,2,01/03/14,28/02/2017,UFPE,George Darmiton C. Cavalcanti,/citations?user=0dSAy8IAAAAJ&hl=pt-BR,13.0,547.0,11.0,430.0
151,Geraldo Robson Mateus,Geraldo R. Mateus,1A,01/03/13,28/02/2018,UFMG,Geraldo R. Mateus,/citations?user=k_rGXy0AAAAJ&hl=pt-BR,24.0,1817.0,15.0,989.0
152,Gerson Zaverucha,gerson zaverucha,1D,01/03/14,28/02/2018,UFRJ,gerson zaverucha,/citations?user=UewoVZ0AAAAJ&hl=pt-BR,12.0,591.0,7.0,229.0
153,Gilson Antonio Giraldi,,2,01/03/14,28/02/2017,LNCC,,,,,,
154,Gina Maira Barbosa de Oliveira,Gina Maira Barbosa de Oliveira,2,01/03/14,28/02/2017,UFU,Gina Maira Barbosa de Oliveira,/citations?user=26rmXXIAAAAJ&hl=pt-BR,13.0,458.0,9.0,255.0
